Indicator,Transformation,Shift,Min,Max,Nominal_Good,Value_Good,Nominal_Bad,Value_Bad
BCI,none,NA,-29.94948598,-19.27886794,5%,-25.86124405,95%,-21.10312661
CDI,none,NA,-24.81012453,-20.09468081,5%,-23.3550189,95%,-21.18038518
CEH,none,NA,0,3297.68,5%,6.68227,95%,850.4202
CHI,none,NA,-26.27913853,-18.47133878,5%,-24.80211546,95%,-20.71686803
DBI,none,NA,-0.178564374,0.199356626,5%,-0.070232689,95%,0.06772903
DCI,none,NA,-0.147714917,0.156035855,5%,-0.056093623,95%,0.049920025
DMI,none,NA,-0.151528496,0.101634389,5%,-0.06010797,95%,0.030401655
DNI,none,NA,-0.178545408,0.165268795,5%,-0.067921669,95%,0.039243155
DSI,none,NA,-0.464611416,0.326986277,5%,-0.084925258,95%,0.086608191
DXI,none,NA,-0.166456906,0.110805647,5%,-0.061229846,95%,0.05268778
FSS,none,NA,0,100,0,0,99%,90.82
HAD,log,0,0.057329674,10392.28008,5%,1.231913141,95%,8.648040651
MPA,log,1.22E-05,0,100.4346161,10,2.302586313,0,-11.31407461
MTR,none,NA,-0.031741406,0.041978455,95%,0.011652635,5%,-0.008789417
NOI,none,NA,-28.30115993,-18.20229029,5%,-26.22903544,95%,-21.49267326
NXI,none,NA,-26.74493736,-17.50665308,5%,-21.66653432,95%,-19.46869866
PAR,none,NA,0.016169633,0.421317,95%,0.219585613,5%,0.031471568
PBD,log,0,12.9311519,1658.717782,1%,3.050593926,99%,6.742951896
PME,log,0,0.045417698,60.27433384,10,2.302585093,99%,3.794272241
PMW,none,NA,0,99.25046186,0,0,99%,86.95887051
SDI,none,NA,-33.61506356,-16.66422789,5%,-22.83490156,95%,-19.2545557
SHI,none,NA,91.06,100,100,100,1%,93.4012
SNM,none,NA,0.28115092,1.28166471,0,0,99%,1.160180723
SPI,none,NA,0,17,17,17,0,0
TBG,none,NA,0,17,17,17,0,0
TBN,none,NA,0,17,17,17,0,0
TCL,log,0.000194457,0,99.30904088,0.004,-5.473991394,95%,0.16331648
TPI,none,NA,-0.692675256,0.322254691,5%,-0.119336141,95%,0.060939279
USD,log,0,0.445051786,8155.587161,5%,0.419372777,95%,8.334040945
UWD,log,0,1.37838154,10263.56816,5%,1.22651556,95%,8.465862213
WWT,log,0.01,0,100,100,4.605270181,0,-4.605170186
